source_file,dataset,num_of_job,num_of_machine,splitmin,index_sample,lower_bound,split_mode,algo,makespan,percentage_gap,processing_time_ms,seed,extra
twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_5.json,twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_5.json,40,3,5,5,211.0,assign,GA,288,36.492890995260666,35134.9081993103,20250609,"{""ga_order"": [35, 9, 22, 0, 13, 36, 24, 26, 28, 12, 37, 39, 32, 23, 34, 19, 18, 5, 16, 3, 6, 17, 33, 10, 38, 2, 14, 21, 30, 4, 8, 31, 7, 25, 27, 29, 1, 20, 11, 15], ""ga_machine_genes"": [1, 1, 2, 0, 0, 0, 1, 0, 0, 1, 2, 1, 2, 0, 0, 2, 2, 1, 2, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2, 1, 0, 2, 1, 0, 0, 1, 2, 0]}"
twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_6.json,twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_6.json,40,3,5,6,214.0,assign,FCFS,333,55.60747663551402,0.46253204345703125,,
twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_6.json,twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_6.json,40,3,5,6,214.0,assign,SA,283,32.242990654205606,27949.09906387329,20250609,"{""sa_best_order"": [26, 39, 34, 12, 31, 15, 21, 7, 22, 14, 28, 24, 27, 2, 3, 38, 16, 30, 11, 17, 23, 9, 13, 33, 4, 37, 35, 10, 32, 5, 20, 0, 25, 1, 18, 29, 6, 19, 8, 36]}"
twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_6.json,twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_6.json,40,3,5,6,214.0,assign,GA,282,31.77570093457944,38070.26290893555,20250609,"{""ga_order"": [29, 38, 11, 35, 24, 1, 5, 18, 16, 25, 7, 23, 31, 21, 13, 15, 32, 34, 3, 19, 4, 27, 26, 22, 37, 10, 8, 17, 14, 12, 28, 0, 33, 6, 30, 9, 39, 36, 2, 20], ""ga_machine_genes"": [0, 0, 2, 2, 2, 1, 2, 0, 2, 0, 2, 2, 2, 0, 1, 1, 0, 1, 2, 2, 2, 2, 1, 0, 0, 0, 0, 2, 1, 1, 2, 2, 1, 2, 1, 0, 1, 1, 1, 0]}"
twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_7.json,twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_7.json,40,3,5,7,197.33333333333334,assign,FCFS,285,44.42567567567567,0.385284423828125,,
twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_7.json,twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_7.json,40,3,5,7,197.33333333333334,assign,SA,243,23.141891891891888,25889.568090438843,20250609,"{""sa_best_order"": [35, 10, 24, 29, 1, 14, 19, 17, 32, 12, 22, 28, 27, 2, 31, 5, 15, 13, 26, 0, 37, 8, 39, 23, 3, 21, 7, 36, 11, 25, 4, 38, 20, 6, 30, 9, 33, 18, 16, 34]}"
twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_7.json,twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_7.json,40,3,5,7,197.33333333333334,assign,GA,245,24.1554054054054,23173.173666000366,20250609,"{""ga_order"": [23, 31, 39, 6, 1, 11, 36, 37, 28, 27, 17, 24, 18, 3, 25, 22, 35, 20, 5, 33, 12, 30, 14, 13, 38, 2, 21, 19, 10, 34, 9, 15, 29, 7, 8, 26, 16, 32, 0, 4], ""ga_machine_genes"": [1, 1, 2, 0, 1, 0, 0, 0, 0, 1, 2, 1, 2, 0, 2, 2, 2, 1, 0, 2, 0, 1, 1, 0, 2, 2, 1, 1, 2, 0, 1, 1, 1, 0, 1, 0, 1, 2, 2, 1]}"
twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_8.json,twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_8.json,40,3,5,8,190.0,assign,FCFS,245,28.94736842105263,0.5776882171630859,,
twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_8.json,twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_8.json,40,3,5,8,190.0,assign,SA,222,16.842105263157894,27555.774688720703,20250609,"{""sa_best_order"": [31, 27, 3, 24, 12, 20, 22, 26, 25, 15, 29, 4, 10, 17, 32, 14, 1, 16, 39, 38, 23, 35, 21, 11, 33, 6, 37, 2, 7, 0, 9, 36, 19, 18, 30, 8, 34, 5, 28, 13]}"
twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_8.json,twspwjp_Jobs_40_Machines_3_Splitmin_5_Index_8.json,40,3,5,8,190.0,assign,GA,222,16.842105263157894,29805.716514587402,20250609,"{""ga_order"": [21, 32, 31, 11, 0, 23, 22, 28, 13, 10, 7, 3, 9, 33, 18, 27, 30, 36, 20, 37, 1, 17, 4, 16, 15, 2, 25, 34, 6, 19, 29, 24, 14, 39, 38, 35, 26, 8, 12, 5], ""ga_machine_genes"": [0, 0, 2, 1, 1, 0, 1, 0, 0, 0, 2, 0, 1, 0, 2, 2, 0, 2, 2, 0, 2, 2, 2, 1, 0, 1, 0, 1, 2, 1, 0, 2, 1, 0, 2, 2, 1, 0, 1, 2]}"
