num_of_job,num_of_machine,splitmin,algo,avg_percentage_gap,avg_processing_time_ms,count
10,2,3,FCFS,28.18742521607497,0.1285791397094726,30
10,2,3,GA,19.51703072695134,8496.869921684265,30
10,2,3,SA,19.281781684805747,8791.092030207315,30
10,2,4,FCFS,32.57886663078705,0.12792746225992835,30
10,2,4,GA,20.49673477282885,8711.516578992208,30
10,2,4,SA,20.068192340438674,8954.559206962585,30
10,2,5,FCFS,34.09569099093604,0.11986096700032547,30
10,2,5,GA,18.5837689799378,8623.869705200195,30
10,2,5,SA,17.649342713212942,8664.434941609701,30
10,3,3,FCFS,41.003641145234155,0.15577475229899085,30
10,3,3,GA,23.8500135682753,9896.825695037842,30
10,3,3,SA,22.22912358513796,11524.774956703186,30
10,3,4,FCFS,41.74729289226356,0.1584688822428385,30
10,3,4,GA,20.659446155173764,9818.87378692627,30
10,3,4,SA,19.176327475310092,11328.733706474304,30
10,3,5,FCFS,44.449113422380414,0.14983812967936194,30
10,3,5,GA,22.25365311081935,9764.766454696655,30
10,3,5,SA,20.155909937254037,11062.48925526937,30
10,4,3,FCFS,54.53057364903025,0.17281373341878253,30
10,4,3,GA,26.91002581858396,10860.457507769266,30
10,4,3,SA,22.91137817066386,13693.733954429626,30
10,4,4,FCFS,49.121702843852646,0.19574165344238278,30
10,4,4,GA,26.12405219454638,10833.530282974243,30
10,4,4,SA,21.862725987114846,13609.493597348532,30
10,4,5,FCFS,49.476837688970996,0.16388098398844397,30
10,4,5,GA,26.74115658943386,10746.872925758362,30
10,4,5,SA,22.003065650390564,13304.051605860392,30
20,2,3,FCFS,25.972797089061178,0.20987192789713538,30
20,2,3,GA,19.832677211056588,13942.71317323049,30
20,2,3,SA,19.209448081858724,13510.413527488708,30
20,2,4,FCFS,30.744539228850904,0.22749900817871094,30
20,2,4,GA,20.65613836760058,14290.54692586263,30
20,2,4,SA,19.965293217184726,13912.012457847595,30
20,2,5,FCFS,30.275887051086098,0.21406014760335285,30
20,2,5,GA,19.804275888222172,13888.774689038595,30
20,2,5,SA,18.9311961067661,13370.683224995932,30
20,3,3,FCFS,30.909784264827465,0.26423931121826166,30
20,3,3,GA,20.101922704742112,15760.762707392374,30
20,3,3,SA,19.491926720946307,17582.487106323242,30
20,3,4,FCFS,33.43813514768899,0.2560774485270182,30
20,3,4,GA,20.431726303894205,15745.06958325704,30
20,3,4,SA,19.446146808603377,17321.318435668945,30
20,3,5,FCFS,33.58876716653016,0.2731720606486003,30
20,3,5,GA,19.470246721672734,15689.049728711447,30
